Cancer	TissueType	SampleID	Gene_A	Gene_B	A_chr	A_arm	A_strand	B_chr	B_arm	B_strand	GeneID_A	GeneID_B	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Junction_A	Junction_B	Most_JSR	frame_detail	tx_type	frame	TAF_info	Fusion_A_TAF	Fusion_B_TAF	artifact.A	artifact.B	FusionPair	Freq_FP	ABS_distance	fus.category	FusionType	gene1_left	gene1_right	gene2_left	gene2_right	any_near_peak02	Gene_A_redundancy	Gene_B_redunduncy	tier
BRCA	11	TCGA-BH-A18L-11A-42R-A12D-07	MLLT10	KIAA1217	10	10p	1	10	10p	1	8028	56243	7	2	2	1	YES	MLLT10:10:21906136_KIAA1217:10:24669798,2	21906136	24669798	2	ENST00000377072:1-699_ENST00000376462:115-3795|ENST00000377072:1-699_ENST00000376454:355-5832|ENST00000377072:1-699_ENST00000376452:355-4125|ENST00000377072:1-699_ENST00000430453:118-1836|ENST00000377072:1-699_ENST00000458595:355-4050|ENST00000307729:1-699_ENST00000376462:115-3795|ENST00000307729:1-699_ENST00000376454:355-5832|ENST00000307729:1-699_ENST00000376452:355-4125|ENST00000307729:1-699_ENST00000430453:118-1836|ENST00000307729:1-699_ENST00000458595:355-4050|ENST00000377059:1-699_ENST00000376462:115-3795|ENST00000377059:1-699_ENST00000376454:355-5832|ENST00000377059:1-699_ENST00000376452:355-4125|ENST00000377059:1-699_ENST00000430453:118-1836|ENST00000377059:1-699_ENST00000458595:355-4050|ENST00000396529:1-237_ENST00000376462:115-3795|ENST00000396529:1-237_ENST00000376454:355-5832|ENST00000396529:1-237_ENST00000376452:355-4125|ENST00000396529:1-237_ENST00000430453:118-1836|ENST00000396529:1-237_ENST00000458595:355-4050|ENST00000446906:1-699_ENST00000376462:115-3795|ENST00000446906:1-699_ENST00000376454:355-5832|ENST00000446906:1-699_ENST00000376452:355-4125|ENST00000446906:1-699_ENST00000430453:118-1836|ENST00000446906:1-699_ENST00000458595:355-4050	primary-alternate	In-frame	MLLT10,0.0952_KIAA1217,0.0253	0.0952	0.0253	no	no	MLLT10__KIAA1217	1	2763662	Middle	Middle	-0.0029	-0.0029	-0.0029	-0.0029	0	1	1	tier1
BRCA	11	TCGA-BH-A18U-11A-23R-A12D-07	GATAD2B	RP11-653A5.2	1	1q	-1	1	1p	1	57459	100526835	9	1	1	1	PARTIALLY	GATAD2B:1:153895209_RP11-653A5.2:1:74954873,1	153895209	74954873	1	ENST00000368655:NA_ENST00000557284:2425-2811	primary-primary	5UTR-CDS	GATAD2B,0.0417_RP11-653A5.2,1.0000	0.0417	1	no	no	GATAD2B__RP11-653A5.2	1	78940336	Long	Long	0.0014	0.0014	0.0014	0.0014	0	1	1	tier4
BRCA	11	TCGA-BH-A18V-11A-52R-A12D-07	ITPKC	LTBP4	19	19q	1	19	19q	1	80271	8425	9	4	4	1	YES	ITPKC:19:41231344_LTBP4:19:41110941,4	41231344	41110941	4	ENST00000263370:1-1255_ENST00000204005:341-4761|ENST00000263370:1-1255_ENST00000308370:452-4872|ENST00000263370:1-1255_ENST00000396819:251-4671	alternate-alternate	In-frame	ITPKC,0.0588_LTBP4,0.3636	0.0588	0.3636	no	no	ITPKC__LTBP4	1	120403	Short	Short	0.6045	0.6045	9e-04	0.6045	1	1	1	tier1
BRCA	11	TCGA-BH-A1EV-11A-24R-A137-07	GSN	DCN	9	9q	1	12	12q	-1	2934	1634	2	1	1	1	YES	GSN:9:124095016_DCN:12:91576601,1	124095016	91576601	1	ENST00000373805:NA_ENST00000552962:NA	alternate-alternate	3UTR-5UTR	GSN,1.0000_DCN,1.0000	1	1	no	no	GSN__DCN	1	32518415	InterChr	InterChr	-0.0038	-0.0038	0.0021	0.0021	0	1	1	tier3
BRCA	11	TCGA-BH-A1EV-11A-24R-A137-07	MYEF2	PATL2	15	15q	-1	15	15q	-1	50804	197135	6	5	3	1	PARTIALLY	MYEF2:15:48458130_PATL2:15:44968763,5	48458130	44968763	5	ENST00000267836:1-525_ENST00000434130:NA|ENST00000324324:1-525_ENST00000434130:NA|ENST00000454655:NA_ENST00000434130:NA	alternate-alternate	CDS-5UTR	MYEF2,0.0877_PATL2,1.0000	0.0877	1	no	no	MYEF2__PATL2	1	3489367	Middle	Middle	-0.0042	-0.0042	-0.0042	-0.0042	0	1	1	tier1
BRCA	11	TCGA-BH-A1EV-11A-24R-A137-07	FLOT2	KRT12	17	17q	-1	17	17q	-1	2319	3859	42	6	5	1	PARTIALLY	FLOT2:17:27224544_KRT12:17:39022489,6	27224544	39022489	6	ENST00000394906:1-49_ENST00000251643:568-1485|ENST00000394908:1-49_ENST00000251643:568-1485	primary-primary	Out-of-frame	FLOT2,0.0822_KRT12,0.0377	0.0822	0.0377	no	no	FLOT2__KRT12	1	11797945	Long	Long	0.2565	0.2565	0.244	0.244	1	1	1	tier1
BRCA	11	TCGA-BH-A1EV-11A-24R-A137-07	CTNND1	CACNG3	11	11q	1	16	16p	1	1500	10368	13	13	13	1	PARTIALLY	CTNND1:11:57529518_CACNG3:16:24358055,13	57529518	24358055	13	ENST00000529986:NA_ENST00000005284:212-948|ENST00000358694:NA_ENST00000005284:212-948|ENST00000532787:NA_ENST00000005284:212-948|ENST00000533667:NA_ENST00000005284:212-948|ENST00000532649:NA_ENST00000005284:212-948|ENST00000528621:NA_ENST00000005284:212-948|ENST00000530748:NA_ENST00000005284:212-948|ENST00000428599:NA_ENST00000005284:212-948|ENST00000527467:NA_ENST00000005284:212-948|ENST00000528232:NA_ENST00000005284:212-948|ENST00000531014:NA_ENST00000005284:212-948|ENST00000526772:NA_ENST00000005284:212-948|ENST00000529873:NA_ENST00000005284:212-948|ENST00000525902:NA_ENST00000005284:212-948|ENST00000532844:NA_ENST00000005284:212-948|ENST00000526357:NA_ENST00000005284:212-948|ENST00000530094:NA_ENST00000005284:212-948|ENST00000415361:NA_ENST00000005284:212-948|ENST00000532245:NA_ENST00000005284:212-948|ENST00000534579:NA_ENST00000005284:212-948|ENST00000526938:NA_ENST00000005284:212-948	alternate-primary	5UTR-CDS	CTNND1,0.0319_CACNG3,1.0000	0.0319	1	no	no	CTNND1__CACNG3	1	33171463	InterChr	InterChr	-1e-04	-1e-04	-0.0099	-0.0099	0	1	1	tier1
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	SMARCA4	ELAVL3	19	19p	1	19	19p	-1	6597	1995	3	4	3	1	YES	SMARCA4:19:11118699_ELAVL3:19:11569426,4	11118699	11569426	4	ENST00000344626:1-2123_ENST00000359227:334-1104|ENST00000344626:1-2123_ENST00000438662:334-1083|ENST00000541122:1-2123_ENST00000359227:334-1104|ENST00000541122:1-2123_ENST00000438662:334-1083|ENST00000444061:1-2123_ENST00000359227:334-1104|ENST00000444061:1-2123_ENST00000438662:334-1083|ENST00000450717:1-2123_ENST00000359227:334-1104|ENST00000450717:1-2123_ENST00000438662:334-1083|ENST00000413806:1-2123_ENST00000359227:334-1104|ENST00000413806:1-2123_ENST00000438662:334-1083|ENST00000358026:1-2123_ENST00000359227:334-1104|ENST00000358026:1-2123_ENST00000438662:334-1083|ENST00000421844:1-2315_ENST00000359227:334-1104|ENST00000421844:1-2315_ENST00000438662:334-1083|ENST00000429416:1-2123_ENST00000359227:334-1104|ENST00000429416:1-2123_ENST00000438662:334-1083	primary-alternate	Out-of-frame	SMARCA4,0.0252_ELAVL3,1.0000	0.0252	1	no	no	SMARCA4__ELAVL3	1	450727	Short	Short	0.0364	0.0364	0.0364	0.0364	0	1	1	tier1
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	ARHGEF26	NLGN1	3	3q	1	3	3q	1	26084	22871	2	6	6	1	YES	ARHGEF26:3:153870721_NLGN1:3:173993105,6	153870721	173993105	6	ENST00000356448:1-1487_ENST00000457714:647-2472|ENST00000356448:1-1487_ENST00000361589:647-2472|ENST00000356448:1-1487_ENST00000401917:767-2592|ENST00000356448:1-1487_ENST00000545397:647-2472|ENST00000465093:1-1487_ENST00000457714:647-2472|ENST00000465093:1-1487_ENST00000361589:647-2472|ENST00000465093:1-1487_ENST00000401917:767-2592|ENST00000465093:1-1487_ENST00000545397:647-2472	primary-primary	Out-of-frame	ARHGEF26,0.0541_NLGN1,0.4615	0.0541	0.4615	no	no	ARHGEF26__NLGN1	1	20122384	Long	Long	-0.0539	-0.0539	-0.0539	-0.0539	0	1	1	tier3
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	ITFG1	ZFC3H1	16	16q	-1	12	12q	-1	81533	196441	43	39	37	1	PARTIALLY	ITFG1:16:47252779_ZFC3H1:12:72041593,39	47252779	72041593	39	ENST00000320640:1-1453_ENST00000378743:1016-5970|ENST00000537184:1-433_ENST00000378743:1016-5970|ENST00000542691:1-688_ENST00000378743:1016-5970|ENST00000544001:1-1114_ENST00000378743:1016-5970	primary-primary	In-frame	ITFG1,0.0457_ZFC3H1,0.1345	0.0457	0.1345	no	no	ITFG1__ZFC3H1	1	24788814	InterChr	InterChr	0.9876	0.9876	1.0872	1.0872	1	2	1	tier2
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	PHKB	PTPRR	16	16q	1	12	12q	-1	5257	5801	8	6	6	1	YES	PHKB:16:47549512_PTPRR:12:71033057,6	47549512	71033057	6	ENST00000323584:1-594_ENST00000283228:1881-1974|ENST00000323584:1-594_ENST00000342084:1545-1638|ENST00000323584:1-594_ENST00000549308:1146-1239|ENST00000323584:1-594_ENST00000440835:1146-1239|ENST00000323584:1-594_ENST00000378778:1263-1356|ENST00000299167:1-573_ENST00000283228:1881-1974|ENST00000299167:1-573_ENST00000342084:1545-1638|ENST00000299167:1-573_ENST00000549308:1146-1239|ENST00000299167:1-573_ENST00000440835:1146-1239|ENST00000299167:1-573_ENST00000378778:1263-1356|ENST00000455779:1-573_ENST00000283228:1881-1974|ENST00000455779:1-573_ENST00000342084:1545-1638|ENST00000455779:1-573_ENST00000549308:1146-1239|ENST00000455779:1-573_ENST00000440835:1146-1239|ENST00000455779:1-573_ENST00000378778:1263-1356	primary-primary	Out-of-frame	PHKB,0.0103_PTPRR,0.1935	0.0103	0.1935	no	no	PHKB__PTPRR	1	23483545	InterChr	InterChr	0.9876	0.9876	1.0872	1.0872	1	1	1	tier1
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	EMP1	TYK2	12	12p	1	19	19p	-1	2012	7297	2	1	1	1	YES	EMP1:12:13369707_TYK2:19:10491352,1	13369707	10491352	1	ENST00000537612:NA_ENST00000525621:NA	alternate-primary	3UTR-5UTR	EMP1,1.0000_TYK2,1.0000	1	1	no	no	EMP1__TYK2	1	2878355	InterChr	InterChr	0.0358	0.0358	0.0364	0.0364	0	1	1	tier3
BRCA	11	TCGA-BH-A1EW-11B-33R-A137-07	PTPN12	TEKT3	7	7q	1	17	17p	-1	5782	64518	4	14	14	3	PARTIALLY	PTPN12:7:77166962_TEKT3:17:15234931,8|PTPN12:7:77166962_TEKT3:17:15243378,5|PTPN12:7:77166962_TEKT3:17:15217547,1	77166962	15234931	8	ENST00000248594:1-99_ENST00000395930:NA	primary-primary	CDS-5UTR	PTPN12,0.0360_TEKT3,0.5000|PTPN12,0.0228_TEKT3,0.7143|PTPN12,0.0047_TEKT3,0.0833	0.036	0.5	no	no	PTPN12__TEKT3	1	61932031	InterChr	InterChr	-0.0262	-0.0262	0.0483	0.0483	0	1	1	tier1
BRCA	11	TCGA-BH-A1F2-11A-32R-A13Q-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	9	8	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,9	43699407	44249598	9	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.1034_KIAA1267,0.5000	0.1034	0.5	no	no	CRHR1__KIAA1267	27	550191	Short	Short	0.0033	0.0033	0.0033	0.0033	0	1	1	tier3
BRCA	11	TCGA-BH-A1F2-11A-32R-A13Q-07	VPS33A	CLIP1	12	12q	-1	12	12q	-1	65082	6249	16	11	11	1	PARTIALLY	VPS33A:12:122748119_CLIP1:12:122758709,11	122748119	122758709	11	ENST00000267199:1-296_ENST00000302528:3934-4284|ENST00000267199:1-296_ENST00000537178:3829-4179|ENST00000267199:1-296_ENST00000540338:3967-4317|ENST00000267199:1-296_ENST00000545889:2692-3042|ENST00000267199:1-296_ENST00000540539:4-354|ENST00000267199:1-296_ENST00000358808:3934-4284|ENST00000267199:1-296_ENST00000392458:1066-1416|ENST00000451053:1-296_ENST00000302528:3934-4284|ENST00000451053:1-296_ENST00000537178:3829-4179|ENST00000451053:1-296_ENST00000540338:3967-4317|ENST00000451053:1-296_ENST00000545889:2692-3042|ENST00000451053:1-296_ENST00000540539:4-354|ENST00000451053:1-296_ENST00000358808:3934-4284|ENST00000451053:1-296_ENST00000392458:1066-1416	primary-primary	Out-of-frame	VPS33A,0.1122_CLIP1,0.0476	0.1122	0.0476	no	no	VPS33A__CLIP1	1	10590	Short	Short	0.0014	0.0014	0.0014	0.0014	0	1	1	tier1
BRCA	11	TCGA-BH-A1FD-11B-21R-A13Q-07	AHNAK	PLAT	11	11q	-1	8	8p	-1	79026	5327	2	9	4	2	YES	AHNAK:11:62283375_PLAT:8:42051245,7|AHNAK:11:62283377_PLAT:8:42051245,2	62283375	42051245	7	NA	NA	NA	AHNAK,0.0385_PLAT,0.0196|AHNAK,0.0113_PLAT,0.0057	0.0385	0.0196	no	no	AHNAK__PLAT	1	20232130	InterChr	InterChr	-4e-04	-4e-04	-9e-04	-9e-04	0	1	1	tier3
BRCA	11	TCGA-BH-A1FE-11B-14R-A13Q-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	25	19	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,25	43699407	44249598	25	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.1712_KIAA1267,0.8333	0.1712	0.8333	no	no	CRHR1__KIAA1267	27	550191	Short	Short	-8e-04	-8e-04	-8e-04	-8e-04	0	1	1	tier3
BRCA	11	TCGA-BH-A1FM-11B-23R-A13Q-07	ZBTB43	PITPNC1	9	9q	1	17	17q	1	23099	26207	2	1	1	1	YES	ZBTB43:9:129571194_PITPNC1:17:65528918,1	129571194	65528918	1	ENST00000373464:NA_ENST00000299954:49-807|ENST00000373464:NA_ENST00000335257:49-999	primary-alternate	5UTR-CDS	ZBTB43,0.0385_PITPNC1,0.0303	0.0385	0.0303	no	no	ZBTB43__PITPNC1	1	64042276	InterChr	InterChr	7e-04	7e-04	0.0052	0.0052	0	1	1	tier3
BRCA	11	TCGA-BH-A1FN-11A-34R-A13Q-07	HLA-DRA	PLAT	6	6p	1	8	8p	-1	3122	5327	2	53	25	1	YES	HLA-DRA:6:32412823_PLAT:8:42051245,53	32412823	42051245	53	NA	NA	NA	HLA-DRA,1.0000_PLAT,0.2573	1	0.2573	no	no	HLA-DRA__PLAT	1	9638422	InterChr	InterChr	0.0026	0.0026	7e-04	7e-04	0	1	1	tier3
BRCA	11	TCGA-BH-A1FN-11A-34R-A13Q-07	WDR26	NCALD	1	1q	-1	8	8q	-1	80232	83988	2	10	9	2	YES	WDR26:1:224576839_NCALD:8:102813898,8|WDR26:1:224572851_NCALD:8:102813898,2	224576839	102813898	8	ENST00000366852:NA_ENST00000519508:NA	alternate-alternate	3UTR-5UTR	WDR26,0.5714_NCALD,0.2963|WDR26,1.0000_NCALD,0.0952	0.5714	0.2963	no	no	WDR26__NCALD	1	121762941	InterChr	InterChr	-0.0017	-0.0017	7e-04	7e-04	0	1	1	tier3
BRCA	11	TCGA-BH-A203-11A-42R-A169-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	3	3	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,3	43699407	44249598	3	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.0385_KIAA1267,0.3000	0.0385	0.3	no	no	CRHR1__KIAA1267	27	550191	Short	Short	2e-04	2e-04	2e-04	2e-04	0	1	1	tier3
BRCA	11	TCGA-E2-A1L7-11A-33R-A144-07	TFG	GPR128	3	3q	1	3	3q	1	10342	84873	55	38	37	1	PARTIALLY	TFG:3:100438902_GPR128:3:100348442,38	100438902	100348442	38	ENST00000240851:1-268_ENST00000273352:116-2394|ENST00000418917:1-268_ENST00000273352:116-2394|ENST00000490574:1-268_ENST00000273352:116-2394|ENST00000476228:1-268_ENST00000273352:116-2394|ENST00000443578:1-268_ENST00000273352:116-2394	primary-primary	In-frame	TFG,0.1333_GPR128,0.9744	0.1333	0.9744	no	no	TFG__GPR128	2	90460	Short	Short	NA	NA	NA	NA	no seg file	1	1	tier1
BRCA	11	TCGA-E2-A1LB-11A-22R-A144-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	5	5	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,5	43699407	44249598	5	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.0980_KIAA1267,0.7143	0.098	0.7143	no	no	CRHR1__KIAA1267	27	550191	Short	Short	0.0051	0.0051	0.0051	0.0051	0	1	1	tier3
BRCA	11	TCGA-E2-A1LS-11A-32R-A157-07	MGLL	CHD1	3	3q	-1	5	5q	-1	11343	1105	2	4	3	2	YES	MGLL:3:127407911_CHD1:5:98219587,3|MGLL:3:127407909_CHD1:5:98219587,1	127407911	98219587	3	NA	NA	NA	MGLL,1.0000_CHD1,0.0857|MGLL,1.0000_CHD1,0.0303	1	0.0857	no	no	MGLL__CHD1	1	29188324	InterChr	InterChr	-3e-04	-3e-04	-0.0039	-0.0039	0	1	1	tier3
BRCA	11	TCGA-E2-A1LS-11A-32R-A157-07	ITGA9	GOLGA4	3	3p	1	3	3p	1	3680	2803	36	28	26	1	YES	ITGA9:3:37523098_GOLGA4:3:37340324,28	37523098	37340324	28	ENST00000264741:1-544_ENST00000361924:815-6693|ENST00000264741:1-544_ENST00000356847:881-6732|ENST00000422441:1-544_ENST00000361924:815-6693|ENST00000422441:1-544_ENST00000356847:881-6732	primary-primary	In-frame	ITGA9,0.4828_GOLGA4,0.1918	0.4828	0.1918	no	no	ITGA9__GOLGA4	1	182774	Short	Short	0.5031	0.5031	0.5031	0.5031	1	1	1	tier1
BRCA	11	TCGA-E2-A1LS-11A-32R-A157-07	C15orf57	CBX3	15	15q	-1	7	7p	1	90416	11335	2	2	2	1	YES	C15orf57:15:40854971_CBX3:7:26241377,2	40854971	26241377	2	NA	NA	NA	C15orf57,0.0317_CBX3,0.0455	0.0317	0.0455	no	no	C15orf57__CBX3	1	14613594	InterChr	InterChr	0.0024	0.0024	0.0015	0.0015	0	1	1	tier3
BRCA	11	TCGA-E9-A1N4-11A-33R-A14M-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	17	17	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,17	43699407	44249598	17	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.2152_KIAA1267,0.5862	0.2152	0.5862	no	no	CRHR1__KIAA1267	27	550191	Short	Short	NA	NA	NA	NA	no seg file	1	1	tier3
BRCA	11	TCGA-E9-A1ND-11A-43R-A144-07	LEPREL2	DDX27	12	12p	1	20	20q	1	10536	55661	2	1	1	1	YES	LEPREL2:12:6949010_DDX27:20:47849303,1	6949010	47849303	1	NA	NA	NA	LEPREL2,1.0000_DDX27,0.0116	1	0.0116	no	no	LEPREL2__DDX27	1	40900293	InterChr	InterChr	NA	NA	NA	NA	no seg file	1	1	tier3
BRCA	11	TCGA-E9-A1RB-11A-33R-A157-07	CRYAB	CCT5	11	11q	-1	5	5p	1	1410	22948	2	19	3	2	YES	CRYAB:11:111779353_CCT5:5:10250033,15|CRYAB:11:111779347_CCT5:5:10250033,4	111779353	10250033	15	ENST00000227251:NA_ENST00000280326:NA	alternate-primary	3UTR-5UTR	CRYAB,1.0000_CCT5,1.0000|CRYAB,1.0000_CCT5,1.0000	1	1	no	no	CRYAB__CCT5	1	101529320	InterChr	InterChr	NA	NA	NA	NA	no seg file	1	1	tier3
BRCA	11	TCGA-E9-A1RC-11A-33R-A157-07	CAV1	TRDN	7	7q	1	6	6q	-1	857	10345	2	7	6	1	PARTIALLY	CAV1:7:116201230_TRDN:6:123758551,7	116201230	123758551	7	NA	NA	NA	CAV1,1.0000_TRDN,0.0208	1	0.0208	no	no	CAV1__TRDN	1	7557321	InterChr	InterChr	NA	NA	NA	NA	no seg file	1	1	not evaluated
BRCA	11	TCGA-GI-A2C9-11A-22R-A21T-07	FAP	IFIH1	2	2q	-1	2	2q	-1	2191	64135	4	4	4	1	YES	FAP:2:163074496_IFIH1:2:163130454,4	163074496	163130454	4	ENST00000188790:1-762_ENST00000263642:2305-3078|ENST00000188790:1-762_ENST00000543192:2305-3078|ENST00000443424:1-687_ENST00000263642:2305-3078|ENST00000443424:1-687_ENST00000543192:2305-3078	primary-primary	In-frame	FAP,0.0533_IFIH1,0.0519	0.0533	0.0519	no	no	FAP__IFIH1	1	55958	Short	Short	0.0031	0.0031	0.0031	0.0031	0	1	1	tier1
HNSC	11	TCGA-CV-6933-11A-01R-1915-07	HTN1	ABCF1	4	4q	1	6	6p	1	3346	23	2	6	1	1	YES	HTN1:4:70924562_ABCF1:6:30545853,6	70924562	30545853	6	ENST00000246896:NA_ENST00000326195:217-2538|ENST00000246896:NA_ENST00000376545:217-2424|ENST00000246896:NA_ENST00000396515:217-717	primary-primary	3UTR-CDS	HTN1,1.0000_ABCF1,0.1017	1	0.1017	no	no	HTN1__ABCF1	1	40378709	InterChr	InterChr	0.001	0.001	-2e-04	-2e-04	0	1	1	tier3
HNSC	11	TCGA-CV-6933-11A-01R-1915-07	HTN3	EIF4A2	4	4q	1	3	3q	1	3347	1974	2	7	7	1	YES	HTN3:4:70902246_EIF4A2:3:186501336,7	70902246	186501336	7	ENST00000381057:NA_ENST00000323963:NA	alternate-primary	3UTR-5UTR	HTN3,1.0000_EIF4A2,1.0000	1	1	no	no	HTN3__EIF4A2	1	115599090	InterChr	InterChr	0.001	0.001	0.001	0.001	0	2	1	tier4
HNSC	11	TCGA-CV-6936-11A-01R-1915-07	CD74	SPRR3	5	5q	-1	1	1q	1	972	6707	2	289	4	1	YES	CD74:5:149781427_SPRR3:1:152974247,289	149781427	152974247	289	ENST00000524315:NA_ENST00000295367:NA	alternate-primary	3UTR-5UTR	CD74,1.0000_SPRR3,0.0187	1	0.0187	no	no	CD74__SPRR3	3	3192820	InterChr	InterChr	-0.0011	-0.0011	0.0096	0.0096	0	1	1	tier3
HNSC	11	TCGA-CV-6938-11A-01R-1915-07	AHNAK	ANKS1A	11	11q	-1	6	6p	1	79026	23294	2	25	24	1	YES	AHNAK:11:62283375_ANKS1A:6:34977682,25	62283375	34977682	25	NA	NA	NA	AHNAK,0.2066_ANKS1A,0.3731	0.2066	0.3731	no	no	AHNAK__ANKS1A	1	27305693	InterChr	InterChr	4e-04	4e-04	6e-04	6e-04	0	1	1	tier3
HNSC	11	TCGA-CV-6955-11A-01R-2016-07	KRT6C	DSP	12	12q	-1	6	6p	1	286887	1832	4	536	1	2	YES	KRT6C:12:52862307_DSP:6:7575528,534|KRT6C:12:52862300_DSP:6:7575528,2	52862307	7575528	534	ENST00000411979:NA_ENST00000379802:2437-8616|ENST00000411979:NA_ENST00000418664:2437-6819	alternate-primary	3UTR-CDS	KRT6C,1.0000_DSP,0.1296|KRT6C,1.0000_DSP,0.0006	1	0.1296	no	no	KRT6C__DSP	1	45286779	InterChr	InterChr	0.0025	0.0025	0.0107	0.0107	0	1	1	tier3
HNSC	11	TCGA-CV-6956-11A-01R-2016-07	KRT6A	CLCN3	12	12q	-1	4	4q	1	3853	1182	2	1	1	1	YES	KRT6A:12:52880958_CLCN3:4:170623929,1	52880958	170623929	1	NA	NA	NA	KRT6A,1.0000_CLCN3,0.0118	1	0.0118	no	no	KRT6A__CLCN3	1	117742971	InterChr	InterChr	0.0019	0.0019	0.0016	0.0016	0	1	1	tier3
HNSC	11	TCGA-CV-6960-11A-01R-2016-07	MGRN1	PRSS53	16	16p	1	16	16p	-1	23295	339105	3	1	1	1	YES	MGRN1:16:4675049_PRSS53:16:31096581,1	4675049	31096581	1	ENST00000262370:1-88_ENST00000280606:884-1662|ENST00000399577:1-88_ENST00000280606:884-1662|ENST00000415496:1-88_ENST00000280606:884-1662|ENST00000536343:1-88_ENST00000280606:884-1662	alternate-alternate	In-frame	MGRN1,0.0204_PRSS53,0.5000	0.0204	0.5	no	no	MGRN1__PRSS53	1	26421532	Long	Long	0.0016	0.0016	0.0016	0.0016	0	1	1	tier3
HNSC	11	TCGA-CV-6962-11A-01R-1915-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	3	7	6	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,7	43699407	44249598	7	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.0959_KIAA1267,0.5385	0.0959	0.5385	no	no	CRHR1__KIAA1267	27	550191	Short	Short	0.0119	0.0119	0.0119	0.0119	0	1	1	tier1
HNSC	11	TCGA-CV-7091-11A-01R-2016-07	BBS5	TTN	2	2q	1	2	2q	-1	129880	7273	2	1	1	1	YES	BBS5:2:170382432_TTN:2:179638096,1	170382432	179638096	1	ENST00000554017:NA_ENST00000342992:7595-100272|ENST00000554017:NA_ENST00000460472:7457-80781|ENST00000554017:NA_ENST00000342175:7457-81357|ENST00000554017:NA_ENST00000356127:7457-80772|ENST00000554017:NA_ENST00000359218:7457-81156|ENST00000554017:NA_ENST00000360870:7595-16815	alternate-alternate	3UTR-CDS	BBS5,1.0000_TTN,0.0104	1	0.0104	no	no	BBS5__TTN	2	9255664	Middle	Middle	2e-04	2e-04	2e-04	2e-04	0	1	1	tier3
HNSC	11	TCGA-CV-7097-11A-01R-2016-07	ACTA1	CHI3L2	1	1q	-1	1	1p	1	58	1117	2	124	1	2	YES	ACTA1:1:229566996_CHI3L2:1:111772314,122|ACTA1:1:229566992_CHI3L2:1:111772314,2	229566996	111772314	122	ENST00000366683:NA_ENST00000466741:NA	alternate-alternate	3UTR-5UTR	ACTA1,1.0000_CHI3L2,0.1755|ACTA1,1.0000_CHI3L2,0.0035	1	0.1755	no	no	ACTA1__CHI3L2	1	117794682	Long	Long	0.0012	0.0012	0.0012	0.0012	0	1	1	tier3
HNSC	11	TCGA-CV-7097-11A-01R-2016-07	CLU	MYH2	8	8p	-1	17	17p	-1	1191	4620	2	1	1	1	YES	CLU:8:27455514_MYH2:17:10453274,1	27455514	10453274	1	ENST00000380446:NA_ENST00000245503:NA	alternate-primary	3UTR-5UTR	CLU,1.0000_MYH2,1.0000	1	1	no	no	CLU__MYH2	1	17002240	InterChr	InterChr	0.0013	0.0013	0.0011	0.0011	0	1	1	tier3
